Title,Price,Location,Erstzulassung,Kilometerstand,Leistung,Treibstoff,Getriebeart,Fahrzeugtyp,Vorbesitzer,Zustand,Antrieb,CO₂-Ausstoß,Verbrauch,Anzahl Türen,Anzahl Sitze,RestAttributes,Equipment
Audi A1 Sportback 25 TFSI intense Limousine,€ 24.620,Ossiacherzeile 50 9500 Villach Kärnten ,3/2023,5.000 km,95 PS (70 kW),Benzin,Schaltgetriebe,Limousine,NaN,Gebrauchtwagen,Vorderrad,129 g/km,NaN,4,5,"{'Hubraum': '999 ccm', 'Außenfarbe': 'Weiß', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['ABS', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'Bluetooth / USB', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Reifendrucksensor', 'Seitenairbags', 'Sitzheizung', 'Stabilitätsprogramme (ESP)', 'Tempomat']"
Audi A1 Sportback 25 TFSI intense Limousine,€ 23.870,Ossiacherzeile 50 9500 Villach Kärnten ,3/2023,5.000 km,95 PS (70 kW),Benzin,Schaltgetriebe,Limousine,NaN,Gebrauchtwagen,Vorderrad,129 g/km,NaN,4,5,"{'Hubraum': '999 ccm', 'Außenfarbe': 'Schwarz', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['ABS', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'Bluetooth / USB', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Parksensor hinten', 'Radio', 'Reifendrucksensor', 'Seitenairbags', 'Sitzheizung', 'Stabilitätsprogramme (ESP)', 'Tempomat']"
Audi Q3 Sportback 35 TDI quattro S line ext. SUV / Geländewagen,€ 59.790,Ossiacherzeile 50 9500 Villach Kärnten ,3/2023,5.000 km,150 PS (110 kW),Diesel,Automatik,SUV / Geländewagen,NaN,Gebrauchtwagen,Allrad,164 g/km,NaN,4,5,"{'Hubraum': '1.968 ccm', 'Außenfarbe': 'Schwarz', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['ABS', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'Bluetooth / USB', 'elektr. Sitze', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederausstattung', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lordosenstütze', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Radio', 'Reifendrucksensor', 'Rückfahrkamera', 'Seitenairbags', 'Stabilitätsprogramme (ESP)', 'Tagfahrlicht']"
Audi A6 Avant 40 TDI quattro Sport Kombi / Family Van,€ 59.990,Ossiacherzeile 50 9500 Villach Kärnten ,7/2022,16.999 km,204 PS (150 kW),Diesel,Automatik,Kombi / Family Van,NaN,Gebrauchtwagen,Allrad,153 g/km,NaN,4,5,"{'Hubraum': '1.968 ccm', 'Außenfarbe': 'Schwarz', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['Aut. Heckklappe', 'Beifahrerairbags', 'Bluetooth / USB', 'Dachreling', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Kurvenfahrlicht', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lordosenstütze', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Reifendrucksensor', 'Seitenairbags', 'Sitzheizung', 'Sportsitze', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat']"
Audi A6 Avant 40 TDI quattro Sport Kombi / Family Van,€ 59.990,Ossiacherzeile 50 9500 Villach Kärnten ,7/2022,16.451 km,204 PS (150 kW),Diesel,Automatik,Kombi / Family Van,NaN,Gebrauchtwagen,Allrad,153 g/km,NaN,4,5,"{'Hubraum': '1.968 ccm', 'Außenfarbe': 'Schwarz', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['Aut. Heckklappe', 'Beifahrerairbags', 'Bluetooth / USB', 'Dachreling', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Kurvenfahrlicht', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lordosenstütze', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Reifendrucksensor', 'Seitenairbags', 'Sitzheizung', 'Sportsitze', 'Spurhalteassistent', 'Tagfahrlicht', 'Tempomat']"
"Audi A1 SB 1,4 TDI intense Limousine",€ 12.990,Grete Bialonczyk-Gasse 8/B1 2700 Wiener Neustadt Niederösterreich ,10/2015,98.000 km,90 PS (66 kW),Diesel,Schaltgetriebe,Limousine,NaN,Gebrauchtwagen,Vorderrad,91 g/km,"3,40 l/100km",5,4,"{'Hubraum': '1.422 ccm', 'max. Anhängelast': '1.200 kg', 'Zylinder': '3', 'Außenfarbe': 'Weiß', 'Abgasnorm': 'EURO 6', 'Gewährleistung': '', '§57a ""Pickerl""': '', 'Pickerl gültig bis': '10.2023', 'Servicegepflegt': ''}","['8-fach Bereift', 'ABS', 'Alarmanlage', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'Bluetooth / USB', 'Bordcomputer', 'CD Player', 'elektr. Fensterheber', 'elektr. Spiegel', 'Fahrerairbag', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Komfortfahrwerk', 'Kopfairbags', 'Kurvenfahrlicht', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Mittelarmlehne', 'Parksensor hinten', 'Radio', 'Regensensor', 'Seitenairbags', 'Servicegepflegt', 'Servolenkung', 'Sportfahrwerk', 'Sportsitze', 'Stabilitätsprogramme (ESP)', 'Start/Stopp-Automatik', 'Tagfahrlicht', 'Tempomat', 'Xenon', 'Zentralverriegelung']"
"Audi A3 2.0 Quattro  RS-Sitze, Panoramadach usw Limousine",€ 18.290,"3202 Hofstetten-Grünau Sankt Pölten Land, Niederösterreich ",04/2013,152.000 km,150 PS (110 kW),Diesel,Schaltgetriebe,Limousine,NaN,Gebrauchtwagen,Allrad,NaN,NaN,5,5,"{'Außenfarbe': 'Grau', 'Metallic\xadlackierung': '', '§57a ""Pickerl""': '', 'Pickerl gültig bis': '04.2024'}","['8-fach Bereift', 'ABS', 'Abstandstempomat', 'Alarmanlage', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'Bluetooth / USB', 'Bordcomputer', 'CD Player', 'Einparkhilfe', 'elektr. Fensterheber', 'elektr. Spiegel', 'Fahrerairbag', 'Fernlichtassistent', 'Freisprecheinrichtung', 'ISOFIX', 'Keyless entry', 'Klimaanlage', 'Klimaautomatik', 'Kollisionswarner', 'Komfortfahrwerk', 'Kopfairbags', 'Kurvenfahrlicht', 'Lederausstattung', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Lichtsensor', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Nichtraucherfahrzeug', 'Notbremsassistent', 'Panoramadach', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Regensensor', 'Rückfahrkamera', 'Schiebedach', 'Seitenairbags', 'Servolenkung', 'Sitzheizung', 'Spurhalteassistent', 'Stabilitätsprogramme (ESP)', 'Start/Stopp-Automatik', 'Tagfahrlicht', 'Teilautonomes Fahren', 'Tempomat', 'Totwinkelassistent', 'Zentralverriegelung']"
Audi Q5 SUV / Geländewagen,€ 21.000,"1100 Wien, 10. Bezirk, Favoriten ",07/2013,175.000 km,177 PS (130 kW),Diesel,Automatik,SUV / Geländewagen,NaN,Gebrauchtwagen,Allrad,NaN,NaN,5,5,"{'Außenfarbe': 'Schwarz', '§57a ""Pickerl""': '', 'Pickerl gültig bis': '06.2023'}",NaN
Audi A7 Sportback 45 TDI quattro Limousine,€ 84.900,Villacher Strasse 213 9020 Klagenfurt Kärnten ,9/2021,21.809 km,245 PS (180 kW),Diesel,Automatik,Limousine,NaN,Gebrauchtwagen,Allrad,178 g/km,NaN,4,5,"{'Hubraum': '2.967 ccm', 'Außenfarbe': 'Grau', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['Abstandstempomat', 'Alarmanlage', 'Aut. Heckklappe', 'Beifahrerairbags', 'Bluetooth / USB', 'elektr. Sitze', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederausstattung', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lordosenstütze', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Reifendrucksensor', 'Rückfahrkamera', 'Seitenairbags', 'Sitzheizung', 'Sportsitze', 'Spurhalteassistent', 'Tempomat']"
Audi Q5 40 TDI quattro SUV / Geländewagen,€ 31.900,Villacher Strasse 213 9020 Klagenfurt Kärnten ,11/2019,88.490 km,190 PS (140 kW),Diesel,Schaltgetriebe,SUV / Geländewagen,NaN,Gebrauchtwagen,Allrad,145 g/km,NaN,4,5,"{'Außenfarbe': 'Weiß', 'Hubraum': '1.968 ccm', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}",['Metallic-Lackierung']
"Audi A4 2,0 TDI Limousine",€ 19.000,"8661 Wartberg im Mürztal Bruck-Mürzzuschlag, Steiermark ",12/2016,105.365 km,150 PS (110 kW),Diesel,Schaltgetriebe,Limousine,2,Gebrauchtwagen,Vorderrad,99 g/km,"3,80 l/100km",4,5,"{'Zylinder': '4', 'Außenfarbe': 'Silber', 'Abgasnorm': 'EURO 6', 'Metallic\xadlackierung': '', '§57a ""Pickerl""': '', 'Pickerl gültig bis': '12.2023', 'Servicegepflegt': ''}","['ABS', 'Antriebsschlupfregelung (ASR)', 'Aut. Heckklappe', 'Beifahrerairbags', 'Bluetooth / USB', 'CD Player', 'Einparkhilfe', 'elektr. Fensterheber', 'elektr. Spiegel', 'Fahrerairbag', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Nichtraucherfahrzeug', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Reifendrucksensor', 'Seitenairbags', 'Servicegepflegt', 'Servolenkung', 'Sitzheizung', 'Stabilitätsprogramme (ESP)', 'Start/Stopp-Automatik', 'Tempomat', 'Zentralverriegelung']"
Audi A4 Avant 35 TDI Kombi / Family Van,€ 51.990,Villacher Strasse 213 9020 Klagenfurt Kärnten ,8/2022,5.000 km,163 PS (120 kW),Diesel,Automatik,Kombi / Family Van,NaN,Gebrauchtwagen,Vorderrad,129 g/km,NaN,4,5,"{'Hubraum': '1.968 ccm', 'Außenfarbe': 'Schwarz', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['Abstandstempomat', 'Aut. Heckklappe', 'Beifahrerairbags', 'Bluetooth / USB', 'Dachreling', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Lichtsensor', 'Lordosenstütze', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Reifendrucksensor', 'Seitenairbags', 'Sitzheizung', 'Spurhalteassistent', 'Tempomat']"
Audi Q3 35 TDI intense SUV / Geländewagen,€ 42.790,Villacher Strasse 213 9020 Klagenfurt Kärnten ,8/2022,5.000 km,150 PS (110 kW),Diesel,Automatik,SUV / Geländewagen,NaN,Gebrauchtwagen,Vorderrad,142 g/km,NaN,4,5,"{'Hubraum': '1.968 ccm', 'Außenfarbe': 'Schwarz', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['ABS', 'Abstandstempomat', 'Antriebsschlupfregelung (ASR)', 'Aut. Heckklappe', 'Beifahrerairbags', 'Bluetooth / USB', 'Dachreling', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Reifendrucksensor', 'Seitenairbags', 'Sitzheizung', 'Stabilitätsprogramme (ESP)', 'Tempomat']"
"Audi A8 4,2 S8 quattro Tiptronic FACELIFT/VOLL Limousine",€ 16.990,"Himberger Straße 6 1100 Wien, 10. Bezirk, Favoriten ",12/1999,291.000 km,360 PS (265 kW),Benzin,Automatik,Limousine,NaN,Gebrauchtwagen,Allrad,334 g/km,"14,10 l/100km",4,5,"{'Hubraum': '4.172 ccm', 'max. Anhängelast': '2.300 kg', 'Zylinder': '8', 'Außenfarbe': 'Schwarz', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': '', 'Pickerl gültig bis': '12.2023', 'Servicegepflegt': ''}","['8-fach Bereift', 'ABS', 'Alarmanlage', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'Bordcomputer', 'CD Player', 'elektr. Fensterheber', 'elektr. Sitze', 'elektr. Spiegel', 'Fahrerairbag', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederausstattung', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Lenkradheizung', 'Lichtsensor', 'Lordosenstütze', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Radio', 'Regensensor', 'Schiebedach', 'Schisack', 'Seitenairbags', 'Servicegepflegt', 'Servolenkung', 'Sitzheizung', 'Sperrdifferential', 'Sportfahrwerk', 'Sportpaket', 'Sportsitze', 'Stabilitätsprogramme (ESP)', 'Tempomat', 'Xenon', 'Zentralverriegelung']"
"Audi A4 Avant 2,0 TDI - 1/3 ZINSFREI FINANZIERUNG Kombi / Family Van",€ 9.990,Eferdinger Straße 132a 4600 Wels Oberösterreich ,7/2008,185.000 km,143 PS (105 kW),Diesel,Schaltgetriebe,Kombi / Family Van,2,Gebrauchtwagen,Vorderrad,149 g/km,"5,70 l/100km",5,5,"{'Hubraum': '1.968 ccm', 'Außenfarbe': 'Grün', 'Abgasnorm': 'EURO 5', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': '', 'Pickerl gültig bis': '07.2023'}","['8-fach Bereift', 'ABS', 'Anhängerkupplung', 'Antriebsschlupfregelung (ASR)', 'Beifahrerairbags', 'Bordcomputer', 'CD Player', 'Dachgepäckträger', 'Dachreling', 'elektr. Fensterheber', 'elektr. Spiegel', 'Fahrerairbag', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'Leichtmetall-/Alufelgen', 'Metallic-Lackierung', 'Mittelarmlehne', 'Multifunktionslenkrad', 'Navigationssystem', 'Nebelscheinwerfer', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Regensensor', 'Seitenairbags', 'Servolenkung', 'Sitzheizung', 'Stabilitätsprogramme (ESP)', 'Tagfahrlicht', 'Tempomat', 'Xenon', 'Zentralverriegelung']"
Audi e-tron GT 350 kW Limousine,€ 116.900,Villacher Strasse 213 9020 Klagenfurt Kärnten ,1/2022,10.596 km,190 PS (140 kW),Elektro,Automatik,Limousine,NaN,Gebrauchtwagen,Allrad,NaN,NaN,4,5,"{'Außenfarbe': 'Schwarz', 'Metallic\xadlackierung': '', 'Gewährleistung': '', '§57a ""Pickerl""': ''}","['Abstandstempomat', 'Bluetooth / USB', 'elektr. Sitze', 'elektr. Spiegel', 'Freisprecheinrichtung', 'ISOFIX', 'Klimaanlage', 'Klimaautomatik', 'Kopfairbags', 'Lederlenkrad', 'LED-Scheinwerfer', 'Leichtmetall-/Alufelgen', 'Media-Interface / mp3', 'Metallic-Lackierung', 'Multifunktionslenkrad', 'Navigationssystem', 'Panoramadach', 'Parksensor hinten', 'Parksensor vorne & hinten', 'Reifendrucksensor', 'Seitenairbags', 'Sitzheizung', 'Tempomat']"
